Data;Gospodarz;Gosc
2017-12-09;Śląsk Wrocław;Piast Gliwice
2017-12-09;Wisła Kraków;Wisła Płock
2017-12-13;Arka Gdynia;Górnik Zabrze
2017-12-13;Termalica Bruk-Bet Nieciecza;Śląsk Wrocław
2017-12-13;Cracovia;Wisła Kraków
2017-12-13;Jagiellonia Białystok;Korona Kielce
2017-12-13;Zagłębie Lubin;Lech Poznań
2017-12-13;Lechia Gdańsk;Pogoń Szczecin
2017-12-13;Piast Gliwice;Legia Warszawa
2017-12-13;Wisła Płock;Sandecja Nowy Sącz
2017-12-16;Górnik Zabrze;Cracovia
2017-12-16;Korona Kielce;Piast Gliwice
2017-12-16;Lech Poznań;Termalica Bruk-Bet Nieciecza
2017-12-16;Legia Warszawa;Wisła Płock
2017-12-16;Pogoń Szczecin;Arka Gdynia
2017-12-16;Sandecja Nowy Sącz;Lechia Gdańsk
2017-12-16;Śląsk Wrocław;Jagiellonia Białystok
2017-12-16;Wisła Kraków;Zagłębie Lubin
2018-02-10;Arka Gdynia;Lech Poznań
2018-02-10;Termalica Bruk-Bet Nieciecza;Korona Kielce
2018-02-10;Cracovia;Śląsk Wrocław
2018-02-10;Zagłębie Lubin;Legia Warszawa
2018-02-10;Lechia Gdańsk;Wisła Kraków
2018-02-10;Piast Gliwice;Jagiellonia Białystok
2018-02-10;Pogoń Szczecin;Sandecja Nowy Sącz
2018-02-10;Wisła Płock;Górnik Zabrze
2018-02-17;Górnik Zabrze;Termalica Bruk-Bet Nieciecza
2018-02-17;Jagiellonia Białystok;Cracovia
2018-02-17;Lech Poznań;Pogoń Szczecin
2018-02-17;Lechia Gdańsk;Piast Gliwice
2018-02-17;Legia Warszawa;Śląsk Wrocław
2018-02-17;Sandecja Nowy Sącz;Korona Kielce
2018-02-17;Wisła Kraków;Arka Gdynia
2018-02-17;Wisła Płock;Zagłębie Lubin
2018-02-24;Termalica Bruk-Bet Nieciecza;Sandecja Nowy Sącz
2018-02-24;Cracovia;Legia Warszawa
2018-02-24;Jagiellonia Białystok;Lechia Gdańsk
2018-02-24;Zagłębie Lubin;Arka Gdynia
2018-02-24;Korona Kielce;Lech Poznań
2018-02-24;Piast Gliwice;Wisła Kraków
2018-02-24;Pogoń Szczecin;Wisła Płock
2018-02-24;Śląsk Wrocław;Górnik Zabrze
2018-02-28;Arka Gdynia;Piast Gliwice
2018-02-28;Górnik Zabrze;Pogoń Szczecin
2018-02-28;Lech Poznań;Śląsk Wrocław
2018-02-28;Lechia Gdańsk;Termalica Bruk-Bet Nieciecza
2018-02-28;Legia Warszawa;Jagiellonia Białystok
2018-02-28;Sandecja Nowy Sącz;Zagłębie Lubin
2018-02-28;Wisła Kraków;Korona Kielce
2018-02-28;Wisła Płock;Cracovia
2018-03-03;Termalica Bruk-Bet Nieciecza;Wisła Płock
2018-03-03;Cracovia;Arka Gdynia
2018-03-03;Jagiellonia Białystok;Wisła Kraków
2018-03-03;Zagłębie Lubin;Lechia Gdańsk
2018-03-03;Korona Kielce;Pogoń Szczecin
2018-03-03;Legia Warszawa;Lech Poznań
2018-03-03;Piast Gliwice;Górnik Zabrze
2018-03-03;Śląsk Wrocław;Sandecja Nowy Sącz
2018-03-10;Arka Gdynia;Termalica Bruk-Bet Nieciecza
2018-03-10;Górnik Zabrze;Zagłębie Lubin
2018-03-10;Lech Poznań;Jagiellonia Białystok
2018-03-10;Lechia Gdańsk;Legia Warszawa
2018-03-10;Pogoń Szczecin;Cracovia
2018-03-10;Sandecja Nowy Sącz;Piast Gliwice
2018-03-10;Wisła Kraków;Śląsk Wrocław
2018-03-10;Wisła Płock;Korona Kielce
2018-03-17;Termalica Bruk-Bet Nieciecza;Pogoń Szczecin
2018-03-17;Cracovia;Sandecja Nowy Sącz
2018-03-17;Jagiellonia Białystok;Arka Gdynia
2018-03-17;Korona Kielce;Górnik Zabrze
2018-03-17;Lech Poznań;Lechia Gdańsk
2018-03-17;Legia Warszawa;Wisła Kraków
2018-03-17;Piast Gliwice;Zagłębie Lubin
2018-03-17;Śląsk Wrocław;Wisła Płock
2018-03-31;Arka Gdynia;Legia Warszawa
2018-03-31;Termalica Bruk-Bet Nieciecza;Cracovia
2018-03-31;Górnik Zabrze;Sandecja Nowy Sącz
